Congruent,Incongruent,D,,,,,,,
12.079,19.278,7.199,51.825601,9.479589495,差异的方差,,Congruent 平均值,Incongruent 平均值,D平均值
16.791,18.741,1.95,3.8025,7.964791667,平均值的差异,,14.051125,22.01591667,7.964791667
9.564,21.214,11.65,135.7225,4.116143531,t统计量,,,,
8.63,15.687,7.057,49.801249,,,,,,
14.669,22.803,8.134,66.161956,,,,,,
12.238,20.878,8.64,74.6496,,,,,,
14.692,24.572,9.88,97.6144,,,,,,
8.987,17.394,8.407,70.677649,,,,,,
9.401,20.762,11.361,129.072321,,,,,,
14.48,26.282,11.802,139.287204,,,,,,
22.328,24.524,2.196,4.822416,,,,,,
15.298,18.644,3.346,11.195716,,,,,,
15.073,17.51,2.437,5.938969,,,,,,
16.929,20.33,3.401,11.566801,,,,,,
18.2,35.255,17.055,290.873025,,,,,,
12.13,22.158,10.028,100.560784,,,,,,
18.495,25.139,6.644,44.142736,,,,,,
10.639,20.429,9.79,95.8441,,,,,,
11.344,17.425,6.081,36.978561,,,,,,
12.369,34.288,21.919,480.442561,,,,,,
12.944,23.894,10.95,119.9025,,,,,,
14.233,17.96,3.727,13.890529,,,,,,
19.71,22.058,2.348,5.513104,,,,,,
16.004,21.157,5.153,26.553409,,,,,,
